사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),최상위라벨,최상위확률(%)
1,갈비_골목갈비_1838.jpg,arcade,21.99,street,10.77,downtown,10.72,arcade,21.99
2,갈비_초량골목갈비_1806.jpg,bakery/shop,81.14,butchers_shop,3.89,delicatessen,3.42,bakery/shop,81.14
3,갈비_초량골목갈비_1807.jpg,catacomb,68.5,archaelogical_excavation,7.75,bakery/shop,5.22,catacomb,68.5
4,갈비_초량골목갈비_1808.jpg,bakery/shop,80.04,butchers_shop,8.35,delicatessen,6.13,bakery/shop,80.04
5,갤러리카페_스타파이브_1066.jpg,restaurant_patio,11.36,diner/outdoor,11.32,parking_garage/outdoor,9.93,restaurant_patio,11.36
6,"고궁,궁_경복궁_241.jpg",pagoda,43.34,temple/asia,34.96,palace,8.31,pagoda,43.34
7,"고궁,궁_경희궁_264.jpg",palace,33.74,temple/asia,21.35,pagoda,9.3,palace,33.74
8,"고궁,궁_경희궁_266.jpg",valley,23.13,mountain,19.64,rice_paddy,8.13,valley,23.13
9,"고궁,궁_용흥궁_1241.jpg",staircase,17.15,stable,13.3,courtyard,9.55,staircase,17.15
10,"고궁,궁_용흥궁_1242.jpg",temple/asia,59.56,pagoda,10.11,zen_garden,7.69,temple/asia,59.56
11,"고궁,궁_용흥궁_1243.jpg",burial_chamber,33.5,jail_cell,16.51,alcove,14.1,burial_chamber,33.5
12,"고궁,궁_운현궁_267.jpg",zen_garden,33.22,temple/asia,29.47,courtyard,27.93,zen_garden,33.22
13,"고궁,궁_운현궁_268.jpg",building_facade,17.45,temple/asia,9.21,museum/outdoor,6.81,building_facade,17.45
14,"고궁,궁_운현궁_269.jpg",shopfront,14.87,temple/asia,13.13,ticket_booth,12.84,shopfront,14.87
15,"고궁,궁_창덕궁_244.jpg",palace,33.22,temple/asia,29.43,pagoda,19.76,palace,33.22
16,"고궁,궁_창덕궁_246.jpg",temple/asia,17.42,palace,12.24,pagoda,11.81,temple/asia,17.42
17,"고궁,궁_화성행궁_759.jpg",temple/asia,59.16,pagoda,20.25,ticket_booth,14.01,temple/asia,59.16
18,공원_동탄호수공원_629.jpg,skyscraper,22.54,downtown,19.6,lake/natural,8.1,skyscraper,22.54
19,공원_동탄호수공원_630.jpg,park,15.56,museum/outdoor,11.69,topiary_garden,9.15,park,15.56
20,공원_동탄호수공원_631.jpg,downtown,26.5,skyscraper,23.23,canal/urban,17.12,downtown,26.5
21,공원_동호수어린이공원_133.jpg,field/cultivated,80.54,vineyard,6.65,farm,3.2,field/cultivated,80.54
22,공원_동호수어린이공원_134.jpg,zen_garden,34.07,pond,7.84,fishpond,7.69,zen_garden,34.07
23,공원_동호수어린이공원_135.jpg,airport_terminal,27.43,lobby,24.81,entrance_hall,6.58,airport_terminal,27.43
24,공원_왕송호수공원_662.jpg,park,58.91,picnic_area,8.0,boardwalk,7.79,park,58.91
25,공원_은계호수공원_646.jpg,bridge,39.66,viaduct,8.66,highway,4.67,bridge,39.66
26,공원_인천대공원 수목원길_1092.jpg,rainforest,44.47,forest/broadleaf,28.2,botanical_garden,11.7,rainforest,44.47
27,공원_인천대공원 수목원길_1093.jpg,forest/broadleaf,42.61,botanical_garden,25.69,japanese_garden,10.89,forest/broadleaf,42.61
28,공원_인천대공원 수목원길_1094.jpg,bamboo_forest,50.21,rainforest,14.43,forest/broadleaf,3.35,bamboo_forest,50.21
29,국수_국수골목 계양점_1361.jpg,butchers_shop,99.99,delicatessen,0.0,supermarket,0.0,butchers_shop,99.99
30,국수_국수골목 계양점_1362.jpg,bakery/shop,52.77,delicatessen,14.28,restaurant_kitchen,8.2,bakery/shop,52.77
31,국수_국수골목 계양점_1363.jpg,bakery/shop,38.39,market/outdoor,34.63,delicatessen,8.16,bakery/shop,38.39
32,국수_국수골목 연수점_1379.jpg,delicatessen,56.1,bakery/shop,19.88,restaurant,8.94,delicatessen,56.1
33,국수_국수골목 연수점_1380.jpg,shopfront,79.39,diner/outdoor,3.14,pharmacy,2.71,shopfront,79.39
34,국수_국수골목 연수점_1381.jpg,ice_cream_parlor,48.96,delicatessen,30.61,bakery/shop,12.21,ice_cream_parlor,48.96
35,냉면_개롱골목냉면_393.jpg,delicatessen,53.44,restaurant,19.56,fastfood_restaurant,4.55,delicatessen,53.44
36,냉면_골목냉면 혜화점_405.jpg,delicatessen,38.45,fishpond,17.64,bakery/shop,10.02,delicatessen,38.45
37,냉면_골목냉면 혜화점_406.jpg,ice_cream_parlor,65.43,bakery/shop,18.53,delicatessen,7.25,ice_cream_parlor,65.43
38,냉면_골목냉면 혜화점_407.jpg,delicatessen,73.31,bakery/shop,10.98,ice_cream_parlor,6.31,delicatessen,73.31
39,냉면_골목냉면_380.jpg,kindergarden_classroom,27.28,childs_room,10.95,drugstore,10.13,kindergarden_classroom,27.28
40,냉면_깡통골목 원조비빔당면_1821.jpg,cafeteria,28.64,food_court,12.86,flea_market/indoor,12.81,cafeteria,28.64
41,냉면_깡통골목 원조비빔당면_1822.jpg,flea_market/indoor,29.86,market/indoor,25.88,hardware_store,9.22,flea_market/indoor,29.86
42,냉면_수택골목냉면_906.jpg,bakery/shop,59.09,delicatessen,10.96,ice_cream_parlor,10.6,bakery/shop,59.09
43,냉면_수택골목냉면_907.jpg,fastfood_restaurant,61.18,food_court,16.2,shopfront,9.63,fastfood_restaurant,61.18
44,도보여행_서서울호수공원 산책길_142.jpg,tree_farm,41.75,botanical_garden,16.01,forest/broadleaf,9.94,tree_farm,41.75
45,도보여행_서서울호수공원 산책길_143.jpg,canal/natural,23.73,lake/natural,17.81,marsh,16.91,canal/natural,23.73
46,도시근린공원_광교호수공원_626.jpg,amphitheater,53.85,dam,23.15,bridge,4.69,amphitheater,53.85
47,도시근린공원_광교호수공원_627.jpg,downtown,18.31,skyscraper,18.12,lake/natural,11.96,downtown,18.31
48,도시근린공원_광교호수공원_628.jpg,canal/natural,38.83,river,16.15,moat/water,13.97,canal/natural,38.83
49,도시근린공원_금광호수공원_652.jpg,balcony/interior,14.24,lake/natural,11.55,islet,10.28,balcony/interior,14.24
50,도시근린공원_기흥호수공원_647.jpg,parking_lot,86.36,highway,3.42,crosswalk,3.31,parking_lot,86.36
